,id,owner_1_score,RATE_owner_1,CAP_AMOUNT_owner_1,PERCENT_OWN_owner_1,owner_2_score,RATE_owner_2,CAP_AMOUNT_owner_2,PERCENT_OWN_owner_2,owner_3_score,RATE_owner_3,CAP_AMOUNT_owner_3,PERCENT_OWN_owner_3,years_in_business,RATE_ID_FOR_years_in_business,fsr,RATE_ID_FOR_fsr,location,RATE_ID_FOR_location,funded_last_30,RATE_ID_FOR_funded_last_30,judgement_lien_percent,RATE_ID_FOR_judgement_lien_percent,INPUT_VALUE_ID_FOR_judgement_lien_amount,RATE_ID_FOR_judgement_lien_amount,INPUT_VALUE_ID_FOR_judgement_lien_time,RATE_ID_FOR_judgement_lien_time,INPUT_VALUE_ID_FOR_num_negative_days,RATE_ID_FOR_num_negative_days,INPUT_VALUE_ID_FOR_num_deposits,RATE_ID_FOR_num_deposits,INPUT_VALUE_ID_FOR_monthly_gross,RATE_ID_FOR_monthly_gross,INPUT_VALUE_ID_FOR_average_ledger,RATE_ID_FOR_average_ledger,INPUT_VALUE_ID_FOR_fc_margin,RATE_ID_FOR_fc_margin,INPUT_VALUE_ID_FOR_tax_lien_amount,RATE_ID_FOR_tax_lien_amount,INPUT_VALUE_ID_FOR_tax_lien_percent,RATE_ID_FOR_tax_lien_percent,INPUT_VALUE_ID_FOR_tax_lien_count,RATE_ID_FOR_tax_lien_count,INPUT_VALUE_ID_FOR_current_position,RATE_ID_FOR_current_position,INPUT_VALUE_ID_FOR_avg_net_deposits,RATE_ID_FOR_avg_net_deposits,INPUT_VALUE_ID_FOR_industry_type,RATE_ID_FOR_industry_type,INPUT_VALUE_owner_4,RATE_owner_4,CAP_AMOUNT_owner_4,PERCENT_OWN_owner_4,deal_application_thread_id,completion_status
667,3549,540,C,35000,100,,,,,,,,,1.52,B,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,540,C,35000,100,3656,Paid off with renewal
618,4745,600,A,150000,100,,,,,,,,,15.16,A,42,,Verified,A,N,,0,A,0,A,,,0.333333333,A,34.33333333,A,19089.33333,A,744.6666667,D,0.04,A,0,A,0,A,0,A,1,A,19089.33333,,preferred,,600,A,150000,100,4532,Paid in full
1826,8618,673,A,150000,100,,,,,,,,,2.67,A,,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,673,A,150000,100,7352,Default
1614,4979,667,A,150000,100,,,,,,,,,8.79,A,71,,Home,A,N,,0,A,0,A,,,0.25,A,4.75,R,30760,A,12656.5,A,0.41,A,0,A,0,A,0,A,0,A,30760,,capped,,667,A,150000,100,4638,Paid in full
27,141,620,A,150000,0,,,,0,,,,0,8.13,A,,,Home,,N,,0,A,0,A,,,0,A,73.25,A,0,D,27761,A,0,D,0,A,0,A,0,A,2,C,130551.27,,,,,,,,153,Paid off with renewal
315,1707,713,A,150000,100,,,,,,,,,3.08,A,80,,Verified,A,N,,0,A,0,A,,,0,A,34.66666667,A,785371,A,127546.85,A,0.16,A,0,A,0,A,0,A,2,C,785371,,capped,,713,A,150000,100,633,Paid in full
609,4414,740,A,150000,80,,,,,,,,,4.02,A,6,,Verified,A,N,,0,A,0,A,,,0.5,A,3.75,R,15799,A,5000,A,0.32,A,0,A,0,A,0,A,0,A,15799,,preferred,,740,A,150000,80,4349,Paid in full
1274,3400,623,A,150000,100,,,,,,,,,4.6,A,85,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,623,A,150000,100,3550,Paid in full
1783,7108,625,A,150000,80,601,A,150000,20,,,,,8.06,A,69,,Verified,A,N,,0,A,0,A,,,1.142857143,B,74.85714286,A,47251.28571,A,2859.857143,A,0.06,A,0,A,0,A,0,A,1,A,47251.28571,,preferred,,620,A,150000,100,5892,Paid off with renewal
1598,5884,625,A,150000,100,,,,,,,,,2.51,A,80,,Home,A,N,,0,A,0,A,,,0.75,A,27.5,A,39714.25,A,4399.5,A,0.11,A,0,A,0,A,0,A,1,A,39714.25,,preferred,,625,A,150000,100,5299,Paid in full
1838,7255,652,A,150000,100,,,,,,,,,31.43,A,87,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,652,A,150000,100,6367,Paid in full
1748,7481,677,A,150000,50,654,A,150000,50,,,,,0.99,C,6,,Verified,A,N,,0,A,0,A,,,0,A,3.333333333,C,267773.6667,A,379791.6667,A,1.42,A,0,A,0,A,0,A,1,A,267773.6667,,preferred,,665,A,150000,100,6518,Default
1000,5553,738,A,150000,100,,,,,,,,,3.27,A,16,,Verified,A,N,,0,A,0,A,,,0,A,9.333333333,R,114088.9267,A,20737.18667,A,0.18,A,0,A,0,A,0,A,0,A,114088.9267,,preferred,,738,A,150000,100,5033,Default
589,3439,595,B,100000,100,,,,,,,,,1.82,B,6,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,595,B,100000,100,3561,Paid in full
470,2751,718,A,150000,100,,,,,,,,,28.13,A,,,Verified,A,N,,3.951,B,7500,A,,,0.5,A,61.75,A,189827,A,6774.5,A,0.04,A,0,A,0,A,0,A,1,A,189827,,capped,,718,A,150000,100,2846,Default
803,5158,574,B,100000,100,,,,,,,,,14.98,A,80,,Home,A,N,,0,A,0,A,,,0.5,A,22.5,A,57474.25,A,6064.25,A,0.11,A,0,A,0,A,0,A,1,A,57474.25,,preferred,,574,B,100000,100,2503,Paid off with renewal
577,3523,682,A,150000,50,691,A,150000,50,,,,,24.55,A,75,,Verified,A,N,,0,A,0,A,,,0.333333333,A,98.66666667,A,154156.8867,A,20540.18333,A,0.13,A,0,A,0,A,0,A,2,C,154156.8867,,preferred,,686,A,150000,100,3559,Paid in full
1994,11111,704,A,150000,100,,,,,,,,,2.37,A,31,,Verified,A,N,,0,A,0,A,,,0,A,40,A,127010.7,A,18545,A,0.15,A,0,A,0,A,0,A,0,A,127010.7,,capped,,704,A,150000,100,7526,Paid in full
663,3961,677,A,150000,100,,,,,,,,,0.75,C,29,,Verified,A,N,,0,A,0,A,,,0.5,A,35.75,A,92250.25,A,9163.98,A,0.1,A,0,A,0,A,0,A,1,A,92250.25,,preferred,,677,A,150000,100,3381,Default
1295,3733,549,C,35000,100,,,,,,,,,5.88,A,5,,Verified,A,N,,0,A,0,A,,,3.75,C,19.75,A,34639.01,A,3396.0275,A,0.1,A,0,A,0,A,0,A,0,A,34639.01,,capped,,549,C,35000,100,3666,Paid in full
1711,7461,616,A,150000,100,,,,,,,,,9.24,A,91,,Verified,A,N,,0,A,0,A,,,0,A,60.75,A,61332.75,A,18595.5,A,0.3,A,0,A,0,A,0,A,1,A,61332.75,,preferred,,616,A,150000,100,6333,Paid via discounted payoff
1956,9213,610,B,100000,100,,,,,,,,,10.29,A,40,,Home,A,N,,0,A,0,A,,,1.75,B,74.75,A,68308.76,A,4043.585,A,0.06,A,0,A,0,A,0,A,1,A,68308.76,,preferred,,610,B,100000,100,7766,Default
1090,8876,707,A,150000,100,,,,,,,,,87.12,A,,,Home,A,N,,0,A,0,A,,,0,A,0,C,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,707,A,150000,100,7541,Paid off with renewal
1939,9357,669,,,51,700,A,150000,49,,,,,11.39,A,,,Verified,A,N,,0,A,0,A,,,0,A,24,A,63999.5,A,27500,A,0.43,A,0,A,0,A,0,A,0,A,63999.5,,preferred,,684,A,150000,100,7871,Paid in full
1496,5074,582,B,100000,100,,,,,,,,,8.73,A,7,,Home,A,N,,0,A,0,A,,,0.5,A,36.5,A,23062.485,A,3428,A,0.15,A,0,A,0,A,0,A,0,A,23062.485,,preferred,,582,B,100000,100,4699,Paid in full
463,3436,595,B,100000,100,,,,,,,,,1.82,B,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,595,B,100000,100,3561,Paid in full
784,4513,600,A,150000,51,647,A,150000,49,,,,,4.81,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,58886.66667,A,2500,A,0.04,A,0,A,0,A,0,A,2,C,58886.66667,,preferred,,623,A,150000,100,4443,Default
437,2222,687,A,150000,100,,,,,,,,,4.26,A,,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,687,A,150000,100,2311,Paid in full
669,3607,445,D,0,100,,,,,,,,,22,A,,,Verified,A,N,,0,A,0,A,,,0,A,38.75,A,112603.02,A,40234.6875,A,0.36,A,0,A,0,A,0,A,0,A,112603.02,,preferred,,445,D,0,100,3630,Paid off with renewal
1427,4262,661,A,150000,100,,,,,,,,,23.31,A,88,,Verified,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,661,A,150000,100,4222,Paid in full
579,3124,649,A,150000,100,,,,,,,,,18.93,A,,,Home,A,N,,0,A,0,A,,,0,A,11.5,A,53664.67,A,11488.5,A,0.21,A,0,A,0,A,0,A,1,A,53664.67,,preferred,,649,A,150000,100,3266,Paid in full
452,3113,649,A,150000,100,,,,,,,,,18.93,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,649,A,150000,100,3266,Paid in full
1655,5233,546,C,35000,100,560,B,100000,,,,,,14.9,A,80,,Verified,A,N,,0,A,0,A,,,0.4,A,18,A,55117,A,5851.4,A,0.11,A,0,A,0,A,0,A,2,C,55117,,preferred,,546,C,35000,100,4803,Default
661,3829,621,A,150000,50,,,,50,,,,,2.79,A,9,,Verified,A,N,,0,A,0,A,,,0,A,38,A,59772.33333,A,4804.666667,A,0.08,A,0,A,0,A,0,A,1,A,59772.33333,,preferred,,621,A,150000,50,3891,Paid in full
1531,6180,488,D,0,100,,,,,,,,,5.44,A,,,Home,A,N,,0,A,0,A,,,0,A,0,R,0,D,0,D,0,D,0,A,0,A,0,A,0,A,0,,preferred,,488,D,0,100,5529,Paid in full
